"country_code","gender","year","week","date","n","sum_contribs","mean_contribs","running_month"
"AR","female",2014,1,2014-01-06,29,5,0.172413793103448,1
"AR","female",2014,2,2014-01-13,29,2,0.0689655172413793,1
"AR","female",2014,3,2014-01-20,29,0,0,1
"AR","female",2014,4,2014-01-27,29,0,0,1
"AR","female",2014,5,2014-02-03,29,2,0.0689655172413793,2
"AR","female",2014,6,2014-02-10,29,8,0.275862068965517,2
"AR","female",2014,7,2014-02-17,29,0,0,2
"AR","female",2014,8,2014-02-24,29,0,0,2
"AR","female",2014,9,2014-03-03,29,1,0.0344827586206897,3
"AR","female",2014,10,2014-03-10,29,11,0.379310344827586,3
"AR","female",2014,11,2014-03-17,29,18,0.620689655172414,3
"AR","female",2014,12,2014-03-24,29,4,0.137931034482759,3
"AR","female",2014,13,2014-03-31,30,7,0.233333333333333,3
"AR","female",2014,14,2014-04-07,31,67,2.16129032258065,4
"AR","female",2014,15,2014-04-14,31,11,0.354838709677419,4
"AR","female",2014,16,2014-04-21,31,7,0.225806451612903,4
"AR","female",2014,17,2014-04-28,32,24,0.75,4
"AR","female",2014,18,2014-05-05,34,45,1.32352941176471,5
"AR","female",2014,19,2014-05-12,35,19,0.542857142857143,5
"AR","female",2014,20,2014-05-19,36,13,0.361111111111111,5
"AR","female",2014,21,2014-05-26,36,63,1.75,5
"AR","female",2014,22,2014-06-02,36,19,0.527777777777778,6
"AR","female",2014,23,2014-06-09,36,32,0.888888888888889,6
"AR","female",2014,24,2014-06-16,36,11,0.305555555555556,6
"AR","female",2014,25,2014-06-23,36,29,0.805555555555556,6
"AR","female",2014,26,2014-06-30,36,61,1.69444444444444,6
"AR","female",2014,27,2014-07-07,36,13,0.361111111111111,7
"AR","female",2014,28,2014-07-14,36,23,0.638888888888889,7
"AR","female",2014,29,2014-07-21,36,20,0.555555555555556,7
"AR","female",2014,30,2014-07-28,37,10,0.27027027027027,7
"AR","female",2014,31,2014-08-04,37,23,0.621621621621622,8
"AR","female",2014,32,2014-08-11,37,9,0.243243243243243,8
"AR","female",2014,33,2014-08-18,37,11,0.297297297297297,8
"AR","female",2014,34,2014-08-25,37,1,0.027027027027027,8
"AR","female",2014,35,2014-09-01,37,10,0.27027027027027,9
"AR","female",2014,36,2014-09-08,38,5,0.131578947368421,9
"AR","female",2014,37,2014-09-15,38,14,0.368421052631579,9
"AR","female",2014,38,2014-09-22,38,6,0.157894736842105,9
"AR","female",2014,39,2014-09-29,38,21,0.552631578947368,9
"AR","female",2014,40,2014-10-06,38,3,0.0789473684210526,10
"AR","female",2014,41,2014-10-13,39,20,0.512820512820513,10
"AR","female",2014,42,2014-10-20,39,14,0.358974358974359,10
"AR","female",2014,43,2014-10-27,39,10,0.256410256410256,10
"AR","female",2014,44,2014-11-03,40,51,1.275,11
"AR","female",2014,45,2014-11-10,40,33,0.825,11
"AR","female",2014,46,2014-11-17,43,34,0.790697674418605,11
"AR","female",2014,47,2014-11-24,43,10,0.232558139534884,11
"AR","female",2014,48,2014-12-01,45,6,0.133333333333333,12
"AR","female",2014,49,2014-12-08,46,20,0.434782608695652,12
"AR","female",2014,50,2014-12-15,46,34,0.739130434782609,12
"AR","female",2014,51,2014-12-22,46,48,1.04347826086957,12
"AR","female",2014,52,2014-12-29,47,27,0.574468085106383,12
"AR","female",2015,1,2015-01-05,48,1,0.0208333333333333,13
"AR","female",2015,2,2015-01-12,48,23,0.479166666666667,13
"AR","female",2015,3,2015-01-19,48,18,0.375,13
"AR","female",2015,4,2015-01-26,49,68,1.38775510204082,13
"AR","female",2015,5,2015-02-02,49,62,1.26530612244898,14
"AR","female",2015,6,2015-02-09,50,10,0.2,14
"AR","female",2015,7,2015-02-16,50,52,1.04,14
"AR","female",2015,8,2015-02-23,50,41,0.82,14
"AR","female",2015,9,2015-03-02,50,55,1.1,15
"AR","female",2015,10,2015-03-09,50,36,0.72,15
"AR","female",2015,11,2015-03-16,50,56,1.12,15
"AR","female",2015,12,2015-03-23,50,70,1.4,15
"AR","female",2015,13,2015-03-30,52,73,1.40384615384615,15
"AR","female",2015,14,2015-04-06,54,51,0.944444444444444,16
"AR","female",2015,15,2015-04-13,54,48,0.888888888888889,16
"AR","female",2015,16,2015-04-20,54,54,1,16
"AR","female",2015,17,2015-04-27,54,92,1.7037037037037,16
"AR","female",2015,18,2015-05-04,54,61,1.12962962962963,17
"AR","female",2015,19,2015-05-11,55,103,1.87272727272727,17
"AR","female",2015,20,2015-05-18,55,110,2,17
"AR","female",2015,21,2015-05-25,55,46,0.836363636363636,17
"AR","female",2015,22,2015-06-01,55,27,0.490909090909091,18
"AR","female",2015,23,2015-06-08,55,48,0.872727272727273,18
"AR","female",2015,24,2015-06-15,55,45,0.818181818181818,18
"AR","female",2015,25,2015-06-22,55,45,0.818181818181818,18
"AR","female",2015,26,2015-06-29,55,62,1.12727272727273,18
"AR","female",2015,27,2015-07-06,55,37,0.672727272727273,19
"AR","female",2015,28,2015-07-13,57,70,1.2280701754386,19
"AR","female",2015,29,2015-07-20,60,39,0.65,19
"AR","female",2015,30,2015-07-27,61,58,0.950819672131147,19
"AR","female",2015,31,2015-08-03,61,53,0.868852459016393,20
"AR","female",2015,32,2015-08-10,62,80,1.29032258064516,20
"AR","female",2015,33,2015-08-17,62,48,0.774193548387097,20
"AR","female",2015,34,2015-08-24,62,86,1.38709677419355,20
"AR","female",2015,35,2015-08-31,62,54,0.870967741935484,20
"AR","female",2015,36,2015-09-07,63,56,0.888888888888889,21
"AR","female",2015,37,2015-09-14,63,55,0.873015873015873,21
"AR","female",2015,38,2015-09-21,64,90,1.40625,21
"AR","female",2015,39,2015-09-28,64,55,0.859375,21
"AR","female",2015,40,2015-10-05,65,73,1.12307692307692,22
"AR","female",2015,41,2015-10-12,65,95,1.46153846153846,22
"AR","female",2015,42,2015-10-19,66,54,0.818181818181818,22
"AR","female",2015,43,2015-10-26,66,79,1.1969696969697,22
"AR","female",2015,44,2015-11-02,67,70,1.04477611940298,23
"AR","female",2015,45,2015-11-09,68,107,1.57352941176471,23
"AR","female",2015,46,2015-11-16,70,93,1.32857142857143,23
"AR","female",2015,47,2015-11-23,70,134,1.91428571428571,23
"AR","female",2015,48,2015-11-30,70,117,1.67142857142857,23
"AR","female",2015,49,2015-12-07,70,128,1.82857142857143,24
"AR","female",2015,50,2015-12-14,70,57,0.814285714285714,24
"AR","female",2015,51,2015-12-21,71,135,1.90140845070423,24
"AR","female",2015,52,2015-12-28,71,121,1.70422535211268,24
"AR","female",2016,1,2016-01-04,68,44,0.647058823529412,25
"AR","female",2016,2,2016-01-11,71,87,1.22535211267606,25
"AR","female",2016,3,2016-01-18,71,136,1.91549295774648,25
"AR","female",2016,4,2016-01-25,71,135,1.90140845070423,25
"AR","female",2016,5,2016-02-01,72,90,1.25,26
"AR","female",2016,6,2016-02-08,72,144,2,26
"AR","female",2016,7,2016-02-15,72,167,2.31944444444444,26
"AR","female",2016,8,2016-02-22,72,108,1.5,26
"AR","female",2016,9,2016-02-29,74,98,1.32432432432432,26
"AR","female",2016,10,2016-03-07,74,157,2.12162162162162,27
"AR","female",2016,11,2016-03-14,74,174,2.35135135135135,27
"AR","female",2016,12,2016-03-21,75,93,1.24,27
"AR","female",2016,13,2016-03-28,76,197,2.59210526315789,27
"AR","female",2016,14,2016-04-04,76,233,3.06578947368421,28
"AR","female",2016,15,2016-04-11,76,155,2.03947368421053,28
"AR","female",2016,16,2016-04-18,76,146,1.92105263157895,28
"AR","female",2016,17,2016-04-25,76,162,2.13157894736842,28
"AR","female",2016,18,2016-05-02,76,198,2.60526315789474,29
"AR","female",2016,19,2016-05-09,76,132,1.73684210526316,29
"AR","female",2016,20,2016-05-16,76,241,3.17105263157895,29
"AR","female",2016,21,2016-05-23,77,246,3.19480519480519,29
"AR","female",2016,22,2016-05-30,78,174,2.23076923076923,29
"AR","female",2016,23,2016-06-06,78,193,2.47435897435897,30
"AR","female",2016,24,2016-06-13,78,105,1.34615384615385,30
"AR","female",2016,25,2016-06-20,79,103,1.30379746835443,30
"AR","female",2016,26,2016-06-27,80,142,1.775,30
"AR","female",2016,27,2016-07-04,81,169,2.08641975308642,31
"AR","female",2016,28,2016-07-11,81,197,2.4320987654321,31
"AR","female",2016,29,2016-07-18,82,120,1.46341463414634,31
"AR","female",2016,30,2016-07-25,83,135,1.62650602409639,31
"AR","female",2016,31,2016-08-01,83,168,2.02409638554217,32
"AR","female",2016,32,2016-08-08,83,156,1.87951807228916,32
"AR","female",2016,33,2016-08-15,83,132,1.59036144578313,32
"AR","female",2016,34,2016-08-22,83,129,1.55421686746988,32
"AR","female",2016,35,2016-08-29,84,138,1.64285714285714,32
"AR","female",2016,36,2016-09-05,85,114,1.34117647058824,33
"AR","female",2016,37,2016-09-12,85,117,1.37647058823529,33
"AR","female",2016,38,2016-09-19,86,102,1.18604651162791,33
"AR","female",2016,39,2016-09-26,87,106,1.2183908045977,33
"AR","female",2016,40,2016-10-03,87,141,1.62068965517241,34
"AR","female",2016,41,2016-10-10,87,128,1.47126436781609,34
"AR","female",2016,42,2016-10-17,88,83,0.943181818181818,34
"AR","female",2016,43,2016-10-24,89,82,0.921348314606742,34
"AR","female",2016,44,2016-10-31,89,97,1.08988764044944,34
"AR","female",2016,45,2016-11-07,90,73,0.811111111111111,35
"AR","female",2016,46,2016-11-14,90,69,0.766666666666667,35
"AR","female",2016,47,2016-11-21,90,105,1.16666666666667,35
"AR","female",2016,48,2016-11-28,90,67,0.744444444444444,35
"AR","female",2016,49,2016-12-05,90,92,1.02222222222222,36
"AR","female",2016,50,2016-12-12,90,77,0.855555555555556,36
"AR","female",2016,51,2016-12-19,90,76,0.844444444444444,36
"AR","female",2016,52,2016-12-26,90,44,0.488888888888889,36
"AR","female",2017,1,2017-01-02,90,46,0.511111111111111,37
"AR","female",2017,2,2017-01-09,90,66,0.733333333333333,37
"AR","female",2017,3,2017-01-16,90,33,0.366666666666667,37
"AR","female",2017,4,2017-01-23,90,52,0.577777777777778,37
"AR","female",2017,5,2017-01-30,91,71,0.78021978021978,37
"AR","female",2017,6,2017-02-06,91,87,0.956043956043956,38
"AR","female",2017,7,2017-02-13,92,53,0.576086956521739,38
"AR","female",2017,8,2017-02-20,92,72,0.782608695652174,38
"AR","female",2017,9,2017-02-27,92,20,0.217391304347826,38
"AR","female",2017,10,2017-03-06,92,38,0.41304347826087,39
"AR","female",2017,11,2017-03-13,93,59,0.634408602150538,39
"AR","female",2017,12,2017-03-20,93,79,0.849462365591398,39
"AR","female",2017,13,2017-03-27,93,104,1.11827956989247,39
"AR","female",2017,14,2017-04-03,94,88,0.936170212765957,40
"AR","female",2017,15,2017-04-10,94,78,0.829787234042553,40
"AR","female",2017,16,2017-04-17,94,144,1.53191489361702,40
"AR","female",2017,17,2017-04-24,96,133,1.38541666666667,40
"AR","female",2017,18,2017-05-01,97,124,1.27835051546392,41
"AR","female",2017,19,2017-05-08,97,105,1.08247422680412,41
"AR","female",2017,20,2017-05-15,97,149,1.5360824742268,41
"AR","female",2017,21,2017-05-22,97,117,1.20618556701031,41
"AR","female",2017,22,2017-05-29,98,120,1.22448979591837,41
"AR","female",2017,23,2017-06-05,100,84,0.84,42
"AR","female",2017,24,2017-06-12,102,127,1.24509803921569,42
"AR","female",2017,25,2017-06-19,102,116,1.13725490196078,42
"AR","female",2017,26,2017-06-26,102,64,0.627450980392157,42
"AR","female",2017,27,2017-07-03,102,111,1.08823529411765,43
"AR","female",2017,28,2017-07-10,104,115,1.10576923076923,43
"AR","female",2017,29,2017-07-17,104,130,1.25,43
"AR","female",2017,30,2017-07-24,104,84,0.807692307692308,43
"AR","female",2017,31,2017-07-31,104,156,1.5,43
"AR","female",2017,32,2017-08-07,105,112,1.06666666666667,44
"AR","female",2017,33,2017-08-14,105,117,1.11428571428571,44
"AR","female",2017,34,2017-08-21,105,70,0.666666666666667,44
"AR","female",2017,35,2017-08-28,105,81,0.771428571428571,44
"AR","female",2017,36,2017-09-04,105,116,1.1047619047619,45
"AR","female",2017,37,2017-09-11,105,90,0.857142857142857,45
"AR","female",2017,38,2017-09-18,105,135,1.28571428571429,45
"AR","female",2017,39,2017-09-25,105,116,1.1047619047619,45
"AR","female",2017,40,2017-10-02,105,73,0.695238095238095,46
"AR","female",2017,41,2017-10-09,106,78,0.735849056603774,46
"AR","female",2017,42,2017-10-16,107,102,0.953271028037383,46
"AR","female",2017,43,2017-10-23,107,158,1.47663551401869,46
"AR","female",2017,44,2017-10-30,108,137,1.26851851851852,46
"AR","female",2017,45,2017-11-06,109,149,1.36697247706422,47
"AR","female",2017,46,2017-11-13,110,91,0.827272727272727,47
"AR","female",2017,47,2017-11-20,110,82,0.745454545454545,47
"AR","female",2017,48,2017-11-27,110,88,0.8,47
"AR","female",2017,49,2017-12-04,110,47,0.427272727272727,48
"AR","female",2017,50,2017-12-11,111,69,0.621621621621622,48
"AR","female",2017,51,2017-12-18,111,60,0.540540540540541,48
"AR","female",2017,52,2017-12-25,111,69,0.621621621621622,48
"AR","female",2018,1,2018-01-01,112,95,0.848214285714286,49
"AR","female",2018,2,2018-01-08,112,70,0.625,49
"AR","female",2018,3,2018-01-15,113,80,0.707964601769911,49
"AR","female",2018,4,2018-01-22,113,109,0.964601769911504,49
"AR","female",2018,5,2018-01-29,115,149,1.29565217391304,49
"AR","female",2018,6,2018-02-05,115,141,1.22608695652174,50
"AR","female",2018,7,2018-02-12,115,79,0.68695652173913,50
"AR","female",2018,8,2018-02-19,115,113,0.982608695652174,50
"AR","female",2018,9,2018-02-26,116,116,1,50
"AR","female",2018,10,2018-03-05,117,165,1.41025641025641,51
"AR","female",2018,11,2018-03-12,118,118,1,51
"AR","female",2018,12,2018-03-19,118,187,1.58474576271186,51
"AR","female",2018,13,2018-03-26,118,98,0.830508474576271,51
"AR","female",2018,14,2018-04-02,118,195,1.65254237288136,52
"AR","female",2018,15,2018-04-09,118,163,1.38135593220339,52
"AR","female",2018,16,2018-04-16,118,182,1.54237288135593,52
"AR","female",2018,17,2018-04-23,119,188,1.57983193277311,52
"AR","female",2018,18,2018-04-30,122,174,1.42622950819672,52
"AR","female",2018,19,2018-05-07,123,173,1.40650406504065,53
"AR","female",2018,20,2018-05-14,123,250,2.03252032520325,53
"AR","female",2018,21,2018-05-21,123,223,1.8130081300813,53
"AR","female",2018,22,2018-05-28,123,249,2.02439024390244,53
"AR","female",2018,23,2018-06-04,123,211,1.71544715447154,54
"AR","female",2018,24,2018-06-11,123,148,1.20325203252033,54
"AR","female",2018,25,2018-06-18,125,148,1.184,54
"AR","female",2018,26,2018-06-25,125,139,1.112,54
"AR","female",2018,27,2018-07-02,125,161,1.288,55
"AR","female",2018,28,2018-07-09,126,181,1.43650793650794,55
"AR","female",2018,29,2018-07-16,127,158,1.24409448818898,55
"AR","female",2018,30,2018-07-23,128,195,1.5234375,55
"AR","female",2018,31,2018-07-30,128,174,1.359375,55
"AR","female",2018,32,2018-08-06,128,156,1.21875,56
"AR","female",2018,33,2018-08-13,128,144,1.125,56
"AR","female",2018,34,2018-08-20,129,177,1.37209302325581,56
"AR","female",2018,35,2018-08-27,129,133,1.03100775193798,56
"AR","female",2018,36,2018-09-03,131,142,1.08396946564885,57
"AR","female",2018,37,2018-09-10,131,141,1.0763358778626,57
"AR","female",2018,38,2018-09-17,132,139,1.0530303030303,57
"AR","female",2018,39,2018-09-24,133,130,0.977443609022556,57
"AR","female",2018,40,2018-10-01,133,103,0.774436090225564,58
"AR","female",2018,41,2018-10-08,133,138,1.03759398496241,58
"AR","female",2018,42,2018-10-15,133,100,0.75187969924812,58
"AR","female",2018,43,2018-10-22,133,181,1.3609022556391,58
"AR","female",2018,44,2018-10-29,134,178,1.32835820895522,58
"AR","female",2018,45,2018-11-05,134,161,1.20149253731343,59
"AR","female",2018,46,2018-11-12,136,203,1.49264705882353,59
"AR","female",2018,47,2018-11-19,137,169,1.23357664233577,59
"AR","female",2018,48,2018-11-26,137,186,1.35766423357664,59
"AR","female",2018,49,2018-12-03,137,171,1.24817518248175,60
"AR","female",2018,50,2018-12-10,137,95,0.693430656934307,60
"AR","female",2018,51,2018-12-17,137,159,1.16058394160584,60
"AR","female",2018,52,2018-12-24,137,65,0.474452554744526,60
"AR","female",2019,1,2019-01-07,139,106,0.762589928057554,61
"AR","female",2019,2,2019-01-14,139,205,1.47482014388489,61
"AR","female",2019,3,2019-01-21,140,165,1.17857142857143,61
"AR","female",2019,4,2019-01-28,141,189,1.34042553191489,61
"AR","female",2019,5,2019-02-04,141,170,1.20567375886525,62
"AR","female",2019,6,2019-02-11,143,196,1.37062937062937,62
"AR","female",2019,7,2019-02-18,144,169,1.17361111111111,62
"AR","female",2019,8,2019-02-25,144,203,1.40972222222222,62
"AR","female",2019,9,2019-03-04,145,234,1.61379310344828,63
"AR","female",2019,10,2019-03-11,145,156,1.07586206896552,63
"AR","female",2019,11,2019-03-18,145,190,1.31034482758621,63
"AR","female",2019,12,2019-03-25,147,233,1.58503401360544,63
"AR","female",2019,13,2019-04-01,152,167,1.09868421052632,64
"AR","female",2019,14,2019-04-08,152,176,1.15789473684211,64
"AR","female",2019,15,2019-04-15,153,168,1.09803921568627,64
"AR","female",2019,16,2019-04-22,154,221,1.43506493506494,64
"AR","female",2019,17,2019-04-29,154,136,0.883116883116883,64
"AR","female",2019,18,2019-05-06,154,206,1.33766233766234,65
"AR","female",2019,19,2019-05-13,154,282,1.83116883116883,65
"AR","female",2019,20,2019-05-20,154,154,1,65
"AR","female",2019,21,2019-05-27,155,265,1.70967741935484,65
"AR","female",2019,22,2019-06-03,155,304,1.96129032258065,66
"AR","female",2019,23,2019-06-10,155,196,1.26451612903226,66
"AR","female",2019,24,2019-06-17,155,240,1.54838709677419,66
"AR","female",2019,25,2019-06-24,155,283,1.8258064516129,66
"AR","female",2019,26,2019-07-01,157,278,1.77070063694268,67
"AR","female",2019,27,2019-07-08,158,181,1.14556962025316,67
"AR","female",2019,28,2019-07-15,158,211,1.33544303797468,67
"AR","female",2019,29,2019-07-22,158,223,1.41139240506329,67
"AR","female",2019,30,2019-07-29,159,250,1.57232704402516,67
"AR","female",2019,31,2019-08-05,159,254,1.59748427672956,68
"AR","female",2019,32,2019-08-12,161,270,1.67701863354037,68
"AR","female",2019,33,2019-08-19,162,289,1.78395061728395,68
"AR","female",2019,34,2019-08-26,164,241,1.46951219512195,68
"AR","female",2019,35,2019-09-02,166,297,1.78915662650602,69
"AR","female",2019,36,2019-09-09,167,290,1.73652694610778,69
"AR","female",2019,37,2019-09-16,167,286,1.7125748502994,69
"AR","female",2019,38,2019-09-23,168,280,1.66666666666667,69
"AR","female",2019,39,2019-09-30,169,351,2.07692307692308,69
"AR","female",2019,40,2019-10-07,169,378,2.23668639053254,70
"AR","female",2019,41,2019-10-14,170,322,1.89411764705882,70
"AR","female",2019,42,2019-10-21,170,286,1.68235294117647,70
"AR","female",2019,43,2019-10-28,170,386,2.27058823529412,70
"AR","female",2019,44,2019-11-04,172,314,1.82558139534884,71
"AR","female",2019,45,2019-11-11,173,328,1.89595375722543,71
"AR","female",2019,46,2019-11-18,174,318,1.82758620689655,71
"AR","female",2019,47,2019-11-25,175,267,1.52571428571429,71
"AR","female",2019,48,2019-12-02,176,243,1.38068181818182,72
"AR","female",2019,49,2019-12-09,176,237,1.34659090909091,72
"AR","female",2019,50,2019-12-16,176,300,1.70454545454545,72
"AR","female",2019,51,2019-12-23,176,206,1.17045454545455,72
"AR","female",2019,52,2019-12-30,176,78,0.443181818181818,72
"AR","female",2020,1,2020-01-06,176,83,0.471590909090909,73
"AR","female",2020,2,2020-01-13,176,200,1.13636363636364,73
"AR","female",2020,3,2020-01-20,176,241,1.36931818181818,73
"AR","female",2020,4,2020-01-27,176,237,1.34659090909091,73
"AR","female",2020,5,2020-02-03,176,211,1.19886363636364,74
"AR","female",2020,6,2020-02-10,176,225,1.27840909090909,74
"AR","female",2020,7,2020-02-17,176,167,0.948863636363636,74
"AR","female",2020,8,2020-02-24,176,165,0.9375,74
"AR","female",2020,9,2020-03-02,176,120,0.681818181818182,75
"AR","female",2020,10,2020-03-09,176,211,1.19886363636364,75
"AR","female",2020,11,2020-03-16,176,226,1.28409090909091,75
"AR","female",2020,12,2020-03-23,176,237,1.34659090909091,75
"AR","female",2020,13,2020-03-30,176,236,1.34090909090909,75
"AR","female",2020,14,2020-04-06,176,216,1.22727272727273,76
"AR","female",2020,15,2020-04-13,176,292,1.65909090909091,76
"AR","female",2020,16,2020-04-20,176,388,2.20454545454545,76
"AR","female",2020,17,2020-04-27,176,245,1.39204545454545,76
"AR","female",2020,18,2020-05-04,176,204,1.15909090909091,77
"AR","female",2020,19,2020-05-11,176,269,1.52840909090909,77
"AR","female",2020,20,2020-05-18,176,340,1.93181818181818,77
"AR","female",2020,21,2020-05-25,176,263,1.49431818181818,77
"AR","female",2020,22,2020-06-01,176,273,1.55113636363636,78
"AR","female",2020,23,2020-06-08,176,483,2.74431818181818,78
"AR","female",2020,24,2020-06-15,176,405,2.30113636363636,78
"AR","female",2020,25,2020-06-22,176,362,2.05681818181818,78
"AR","female",2020,26,2020-06-29,176,467,2.65340909090909,78
"AR","female",2020,27,2020-07-06,176,361,2.05113636363636,79
"AR","female",2020,28,2020-07-13,176,318,1.80681818181818,79
"AR","female",2020,29,2020-07-20,176,360,2.04545454545455,79
"AR","female",2020,30,2020-07-27,176,400,2.27272727272727,79
"AR","male",2014,1,2014-01-06,930,715,0.768817204301075,1
"AR","male",2014,2,2014-01-13,932,542,0.581545064377682,1
"AR","male",2014,3,2014-01-20,935,517,0.552941176470588,1
"AR","male",2014,4,2014-01-27,938,575,0.613006396588486,1
"AR","male",2014,5,2014-02-03,940,712,0.757446808510638,2
"AR","male",2014,6,2014-02-10,947,691,0.729672650475185,2
"AR","male",2014,7,2014-02-17,949,756,0.796628029504742,2
"AR","male",2014,8,2014-02-24,958,655,0.683716075156576,2
"AR","male",2014,9,2014-03-03,963,684,0.710280373831776,3
"AR","male",2014,10,2014-03-10,968,702,0.725206611570248,3
"AR","male",2014,11,2014-03-17,975,762,0.781538461538462,3
"AR","male",2014,12,2014-03-24,981,823,0.838939857288481,3
"AR","male",2014,13,2014-03-31,985,872,0.885279187817259,3
"AR","male",2014,14,2014-04-07,988,846,0.856275303643725,4
"AR","male",2014,15,2014-04-14,1006,951,0.945328031809145,4
"AR","male",2014,16,2014-04-21,1008,1057,1.04861111111111,4
"AR","male",2014,17,2014-04-28,1013,1185,1.16979269496545,4
"AR","male",2014,18,2014-05-05,1022,946,0.925636007827789,5
"AR","male",2014,19,2014-05-12,1024,1217,1.1884765625,5
"AR","male",2014,20,2014-05-19,1031,1239,1.20174587778855,5
"AR","male",2014,21,2014-05-26,1042,1212,1.16314779270633,5
"AR","male",2014,22,2014-06-02,1044,1148,1.09961685823755,6
"AR","male",2014,23,2014-06-09,1045,1259,1.20478468899522,6
"AR","male",2014,24,2014-06-16,1053,1219,1.15764482431149,6
"AR","male",2014,25,2014-06-23,1059,1272,1.20113314447592,6
"AR","male",2014,26,2014-06-30,1064,1298,1.21992481203008,6
"AR","male",2014,27,2014-07-07,1076,1046,0.972118959107807,7
"AR","male",2014,28,2014-07-14,1079,1117,1.03521779425394,7
"AR","male",2014,29,2014-07-21,1092,1227,1.12362637362637,7
"AR","male",2014,30,2014-07-28,1096,1364,1.24452554744526,7
"AR","male",2014,31,2014-08-04,1103,1225,1.11060743427017,8
"AR","male",2014,32,2014-08-11,1106,1279,1.15641952983725,8
"AR","male",2014,33,2014-08-18,1119,1167,1.04289544235925,8
"AR","male",2014,34,2014-08-25,1125,1294,1.15022222222222,8
"AR","male",2014,35,2014-09-01,1132,1320,1.1660777385159,9
"AR","male",2014,36,2014-09-08,1139,1276,1.12028094820018,9
"AR","male",2014,37,2014-09-15,1142,1616,1.41506129597198,9
"AR","male",2014,38,2014-09-22,1150,1430,1.24347826086957,9
"AR","male",2014,39,2014-09-29,1156,1338,1.15743944636678,9
"AR","male",2014,40,2014-10-06,1162,1226,1.05507745266781,10
"AR","male",2014,41,2014-10-13,1170,1638,1.4,10
"AR","male",2014,42,2014-10-20,1178,1319,1.11969439728353,10
"AR","male",2014,43,2014-10-27,1183,1579,1.33474218089603,10
"AR","male",2014,44,2014-11-03,1188,1626,1.36868686868687,11
"AR","male",2014,45,2014-11-10,1191,1494,1.2544080604534,11
"AR","male",2014,46,2014-11-17,1202,1538,1.27953410981697,11
"AR","male",2014,47,2014-11-24,1207,1446,1.1980115990058,11
"AR","male",2014,48,2014-12-01,1215,1343,1.10534979423868,12
"AR","male",2014,49,2014-12-08,1216,1150,0.945723684210526,12
"AR","male",2014,50,2014-12-15,1219,1510,1.23872026251025,12
"AR","male",2014,51,2014-12-22,1222,1613,1.31996726677578,12
"AR","male",2014,52,2014-12-29,1228,951,0.77442996742671,12
"AR","male",2015,1,2015-01-05,1231,347,0.281884646628757,13
"AR","male",2015,2,2015-01-12,1234,1072,0.86871961102107,13
"AR","male",2015,3,2015-01-19,1237,1449,1.17138237671787,13
"AR","male",2015,4,2015-01-26,1246,1231,0.987961476725522,13
"AR","male",2015,5,2015-02-02,1252,1446,1.15495207667732,14
"AR","male",2015,6,2015-02-09,1252,1358,1.08466453674121,14
"AR","male",2015,7,2015-02-16,1256,1465,1.16640127388535,14
"AR","male",2015,8,2015-02-23,1262,1301,1.03090332805071,14
"AR","male",2015,9,2015-03-02,1267,1572,1.24072612470403,15
"AR","male",2015,10,2015-03-09,1268,1567,1.23580441640379,15
"AR","male",2015,11,2015-03-16,1276,1492,1.1692789968652,15
"AR","male",2015,12,2015-03-23,1285,1642,1.27782101167315,15
"AR","male",2015,13,2015-03-30,1294,1504,1.16228748068006,15
"AR","male",2015,14,2015-04-06,1307,1257,0.961744452945677,16
"AR","male",2015,15,2015-04-13,1311,1958,1.49351639969489,16
"AR","male",2015,16,2015-04-20,1321,2107,1.59500378501135,16
