"country_code","gender","n"
"AD","female",0
"AD","male",5
"AE","female",6
"AE","male",102
"AF","female",0
"AF","male",7
"AL","female",2
"AL","male",9
"AM","female",2
"AM","male",37
"AO","female",0
"AO","male",10
"AQ","female",0
"AQ","male",3
"AR","female",177
"AR","male",2673
"AT","female",135
"AT","male",2931
"AU","female",196
"AU","male",2791
"AZ","female",1
"AZ","male",27
"BA","female",6
"BA","male",51
"BB","female",0
"BB","male",3
"BD","female",106
"BD","male",1953
"BE","female",173
"BE","male",2281
"BG","female",23
"BG","male",251
"BH","female",0
"BH","male",6
"BI","female",0
"BI","male",1
"BJ","female",0
"BJ","male",10
"BN","female",0
"BN","male",1
"BO","female",3
"BO","male",60
"BQ","female",0
"BQ","male",1
"BR","female",613
"BR","male",7589
"BS","female",0
"BS","male",2
"BT","female",0
"BT","male",1
"BW","female",0
"BW","male",1
"BY","female",26
"BY","male",236
"BZ","female",0
"BZ","male",1
"CA","female",425
"CA","male",4283
"CD","female",0
"CD","male",8
"CG","female",0
"CG","male",2
"CH","female",357
"CH","male",5178
"CI","female",1
"CI","male",13
"CL","female",50
"CL","male",755
"CM","female",1
"CM","male",14
"CN","female",180
"CN","male",2185
"CO","female",347
"CO","male",4759
"CR","female",7
"CR","male",142
"CU","female",2
"CU","male",11
"CV","female",0
"CV","male",1
"CY","female",0
"CY","male",26
"CZ","female",57
"CZ","male",1269
"DE","female",281
"DE","male",5171
"DJ","female",0
"DJ","male",1
"DK","female",270
"DK","male",3842
"DO","female",5
"DO","male",79
"DZ","female",6
"DZ","male",50
"EC","female",4
"EC","male",89
"EE","female",1
"EE","male",118
"EG","female",345
"EG","male",3238
"ES","female",374
"ES","male",5258
"ET","female",0
"ET","male",17
"FI","female",258
"FI","male",3559
"FJ","female",0
"FJ","male",1
"FR","female",194
"FR","male",3293
"GA","female",0
"GA","male",1
"GB","female",397
"GB","male",5063
"GE","female",1
"GE","male",18
"GG","female",0
"GG","male",2
"GH","female",10
"GH","male",65
"GI","female",0
"GI","male",3
"GM","female",0
"GM","male",1
"GN","female",0
"GN","male",1
"GP","female",1
"GP","male",0
"GQ","female",0
"GQ","male",1
"GR","female",17
"GR","male",295
"GT","female",6
"GT","male",87
"GY","female",0
"GY","male",3
"HK","female",15
"HK","male",170
"HN","female",3
"HN","male",35
"HR","female",7
"HR","male",138
"HT","female",1
"HT","male",2
"HU","female",9
"HU","male",192
"ID","female",371
"ID","male",3600
"IE","female",231
"IE","male",2903
"IL","female",63
"IL","male",1066
"IM","female",0
"IM","male",4
"IN","female",383
"IN","male",6745
"IQ","female",1
"IQ","male",11
"IR","female",13
"IR","male",200
"IS","female",3
"IS","male",14
"IT","female",210
"IT","male",4678
"JE","female",0
"JE","male",3
"JM","female",0
"JM","male",12
"JO","female",5
"JO","male",29
"JP","female",99
"JP","male",1520
"KE","female",24
"KE","male",203
"KG","female",1
"KG","male",10
"KH","female",2
"KH","male",10
"KN","female",0
"KN","male",1
"KP","female",0
"KP","male",1
"KR","female",122
"KR","male",1318
"KW","female",0
"KW","male",12
"KY","female",0
"KY","male",3
"KZ","female",3
"KZ","male",28
"LA","female",0
"LA","male",1
"LB","female",1
"LB","male",32
"LI","female",0
"LI","male",2
"LK","female",7
"LK","male",66
"LR","female",0
"LR","male",4
"LT","female",1
"LT","male",95
"LU","female",1
"LU","male",49
"LV","female",1
"LV","male",57
"LY","female",0
"LY","male",12
"MA","female",4
"MA","male",109
"MC","female",0
"MC","male",3
"MD","female",0
"MD","male",30
"ME","female",0
"ME","male",7
"MG","female",1
"MG","male",1
"MK","female",1
"MK","male",34
"ML","female",0
"ML","male",2
"MM","female",7
"MM","male",18
"MO","female",0
"MO","male",4
"MQ","female",1
"MQ","male",1
"MR","female",0
"MR","male",3
"MT","female",0
"MT","male",28
"MU","female",0
"MU","male",12
"MV","female",0
"MV","male",7
"MW","female",2
"MW","male",6
"MX","female",215
"MX","male",3049
"MY","female",17
"MY","male",170
"MZ","female",0
"MZ","male",10
"NC","female",0
"NC","male",2
"NE","female",0
"NE","male",1
"NG","female",50
"NG","male",832
"NI","female",4
"NI","male",22
"NL","female",400
"NL","male",5368
"NO","female",221
"NO","male",3222
"NP","female",13
"NP","male",134
"NZ","female",326
"NZ","male",3145
"OM","female",0
"OM","male",4
"PA","female",3
"PA","male",40
"PE","female",13
"PE","male",194
"PF","female",0
"PF","male",2
"PG","female",0
"PG","male",3
"PH","female",307
"PH","male",1962
"PK","female",174
"PK","male",4901
"PL","female",534
"PL","male",5783
"PR","female",2
"PR","male",43
"PS","female",1
"PS","male",11
"PT","female",374
"PT","male",4239
"PY","female",3
"PY","male",35
"QA","female",0
"QA","male",9
"RE","female",0
"RE","male",5
"RO","female",370
"RO","male",2907
"RS","female",21
"RS","male",228
"RU","female",181
"RU","male",3294
"RW","female",3
"RW","male",12
"SA","female",20
"SA","male",99
"SD","female",0
"SD","male",11
"SE","female",81
"SE","male",1279
"SG","female",56
"SG","male",684
"SI","female",1
"SI","male",85
"SJ","female",0
"SJ","male",1
"SK","female",5
"SK","male",91
"SL","female",0
"SL","male",5
"SM","female",0
"SM","male",1
"SN","female",0
"SN","male",17
"SO","female",1
"SO","male",6
"SR","female",0
"SR","male",1
"SV","female",1
"SV","male",48
"SX","female",0
"SX","male",1
"SY","female",0
"SY","male",11
"TC","female",0
"TC","male",1
"TG","female",0
"TG","male",3
"TH","female",5
"TH","male",121
"TJ","female",0
"TJ","male",1
"TL","female",0
"TL","male",1
"TM","female",0
"TM","male",1
"TN","female",9
"TN","male",83
"TR","female",362
